state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
AL,11933.333333333334,67.53333333333333,825466.6666666666,158800.0,1.4186666666666667,1001933.3333333334,2005.0
AR,36800.0,73.93333333333334,2810400.0,992666.6666666666,1.0919999999999999,2684400.0,2005.0
AZ,33666.666666666664,60.06666666666667,2032266.6666666667,877000.0,1.1346666666666667,2111800.0,2005.0
CA,406666.6666666667,55.8,23169000.0,6453800.0,1.1333333333333333,24359333.333333332,2005.0
CO,28000.0,62.8,1750600.0,815266.6666666666,1.2293333333333334,2090266.6666666667,2005.0
FL,195200.0,83.06666666666666,16469866.666666666,2209600.0,1.1006666666666667,16615266.666666666,2005.0
GA,60400.0,54.666666666666664,3299933.3333333335,352266.6666666667,1.1853333333333333,3867533.3333333335,2005.0
HI,8733.333333333334,98.0,843133.3333333334,170200.0,1.71,1404200.0,2005.0
IA,31466.666666666668,65.73333333333333,2080000.0,1129933.3333333333,1.3206666666666667,2588333.3333333335,2005.0
ID,99400.0,44.0,4410666.666666667,1875933.3333333333,1.1380000000000001,4762066.666666667,2005.0
IL,8066.666666666667,61.666666666666664,498333.3333333333,209933.33333333334,2.1393333333333335,1007533.3333333334,2005.0
IN,7933.333333333333,60.93333333333333,484000.0,202600.0,1.526,690533.3333333334,2005.0
KS,12600.0,56.06666666666667,707933.3333333334,349200.0,1.4126666666666665,924066.6666666666,2005.0
KY,4400.0,52.13333333333333,229666.66666666666,46933.333333333336,2.0826666666666664,479933.3333333333,2005.0
LA,37666.666666666664,95.73333333333333,3627333.3333333335,543733.3333333334,1.054,3620200.0,2005.0
MD,4666.666666666667,45.0,211000.0,48500.0,1.5616666666666665,305500.0,2000.5
ME,8400.0,31.066666666666666,246733.33333333334,96333.33333333333,1.432,337800.0,2005.0
MI,71133.33333333333,68.13333333333334,4854666.666666667,2295600.0,1.232,5786933.333333333,2005.0
MN,128933.33333333333,74.26666666666667,9624000.0,2185800.0,1.1520000000000001,10523333.333333334,2005.0
MO,15666.666666666666,53.4,871533.3333333334,203266.66666666666,1.3780000000000001,984533.3333333334,2005.0
MS,16800.0,87.46666666666667,1456866.6666666667,314533.3333333333,1.0586666666666666,1616800.0,2005.0
MT,136000.0,77.33333333333333,10437466.666666666,3196666.6666666665,1.1506666666666665,11793533.333333334,2005.0
NC,11400.0,47.8,542733.3333333334,126533.33333333333,2.074,1143866.6666666667,2005.0
ND,370333.3333333333,88.06666666666666,31672333.333333332,8859866.666666666,1.1253333333333333,36376133.333333336,2005.0
NE,46333.333333333336,67.46666666666667,3158600.0,1689333.3333333333,1.1726666666666667,3526333.3333333335,2005.0
NJ,10933.333333333334,36.93333333333333,399533.3333333333,114800.0,1.5093333333333334,607000.0,2005.0
NM,8733.333333333334,53.86666666666667,476466.6666666667,234933.33333333334,1.318,547200.0,2005.0
NV,9818.181818181818,45.18181818181818,439272.7272727273,146454.54545454544,2.2190909090909092,969909.0909090909,2003.0
NY,56400.0,69.13333333333334,3937466.6666666665,1774466.6666666667,1.3613333333333335,5004200.0,2005.0
OH,16133.333333333334,63.53333333333333,1040066.6666666666,433333.3333333333,1.5906666666666667,1552133.3333333333,2005.0
OK,4500.0,46.333333333333336,201166.66666666666,66833.33333333333,1.4566666666666668,285166.6666666667,2000.5
OR,48600.0,44.4,2121400.0,1078866.6666666667,1.2526666666666666,2623266.6666666665,2005.0
PA,25733.333333333332,50.4,1295600.0,555200.0,1.5213333333333334,1849666.6666666667,2005.0
SC,5333.333333333333,68.0,343333.3333333333,29666.666666666668,1.3099999999999998,446000.0,2002.0
SD,236266.66666666666,75.8,17742733.333333332,8766266.666666666,1.1400000000000001,19376733.333333332,2005.0
TN,7200.0,56.333333333333336,407733.3333333333,97866.66666666667,1.894,759933.3333333334,2005.0
TX,98533.33333333333,70.53333333333333,6993600.0,1368000.0,1.1146666666666667,7429200.0,2005.0
UT,25333.333333333332,46.53333333333333,1179066.6666666667,307666.6666666667,1.1666666666666667,1344333.3333333333,2005.0
VA,6600.0,40.2,266533.3333333333,66933.33333333333,2.3200000000000003,572200.0,2005.0
VT,5666.666666666667,66.93333333333334,388066.6666666667,152266.66666666666,1.5853333333333335,562333.3333333334,2005.0
WA,55666.666666666664,48.8,2687733.3333333335,1110200.0,1.248,3319133.3333333335,2005.0
WI,68133.33333333333,79.4,5455533.333333333,2848400.0,1.2719999999999998,6513733.333333333,2005.0
WV,6533.333333333333,48.53333333333333,321200.0,133733.33333333334,1.8346666666666667,552600.0,2005.0
WY,39533.333333333336,66.13333333333334,2617933.3333333335,482200.0,1.148,2856533.3333333335,2005.0
