year,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue
1998,60953.48837209302,69.95348837209302,5105093.023255814,1873604.6511627906,0.8325581395348837,3397465.11627907
1999,61325.58139534884,65.46511627906976,4706674.4186046515,1823023.2558139535,0.8041860465116278,2875744.1860465114
2000,60558.13953488372,67.5813953488372,5106000.0,1975720.9302325582,0.7913953488372093,3059720.930232558
2001,57772.72727272727,64.54545454545455,4221545.454545454,1471909.0909090908,0.9118181818181817,3006409.090909091
2002,58295.454545454544,66.79545454545455,3892386.3636363638,890386.3636363636,1.3713636363636363,5165954.545454546
2003,58886.36363636364,62.54545454545455,4122090.909090909,923159.0909090909,1.4947727272727271,5729068.181818182
2004,61926.829268292684,64.8048780487805,4456804.87804878,1487341.463414634,1.2846341463414634,4812365.853658536
2005,58390.243902439026,64.26829268292683,4243146.341463415,1516756.0975609757,1.1951219512195121,3921780.487804878
2006,58000.0,61.853658536585364,3761902.43902439,1469146.3414634147,1.303658536585366,3851804.8780487804
2007,59219.51219512195,59.170731707317074,3600512.1951219514,1278170.731707317,1.4382926829268292,3935512.1951219514
2008,56731.70731707317,61.0,3974926.8292682925,1243804.8780487804,1.625609756097561,5609560.975609756
2009,61800.0,53.85,3626700.0,933050.0,1.812,5348000.0
2010,66650.0,56.275,4382350.0,1119925.0,1.9289999999999998,6959250.0
2011,61650.0,54.775,3680025.0,913750.0,2.16725,6467200.0
2012,62725.0,55.175,3522675.0,791550.0,2.367,7018125.0
